집계일자,집계시,시작영업소코드,도착영업소코드,TCS차종구분코드,출발도착기준구분코드,통행시간,평활화전통행시간,평균속도,영업소간보정구분코드,교통량,유효교통량,통행시간표준편차,통행시간변동계수,통행시간최대값,통행시간중위값,통행시간최소값,퍼센타일15_85통행시간,최종변경시각,시작영업소이름,시작도로이름,도착영업소이름,도착도로이름
20210624,00,254 ,620 ,4,2,13653,13653,79.86,00,1,1,0,0,13653,13653,13653,0,20210624021327,군자,영동선,영천JC,상주영천선
20210624,00,254 ,620 ,3,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,군자,영동선,영천JC,상주영천선
20210624,00,254 ,620 ,2,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,군자,영동선,영천JC,상주영천선
20210624,00,254 ,620 ,1,2,11804,11804,92.36,00,5,5,854.94,0.07,12957,11813,10653,1612,20210624021327,군자,영동선,영천JC,상주영천선
20210624,00,255 ,620 ,5,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,서안산,영동선,영천JC,상주영천선
20210624,00,281 ,620 ,5,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,매송,서해안선,영천JC,상주영천선
20210624,00,285 ,620 ,4,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,서평택,서해안선,영천JC,상주영천선
20210624,00,287 ,620 ,5,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,송악,서해안선,영천JC,상주영천선
20210624,00,517 ,620 ,5,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,양평,중부내륙선,영천JC,상주영천선
20210624,00,520 ,620 ,4,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,평택,평택-음성지선,영천JC,상주영천선
20210624,00,521 ,620 ,5,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,단양,중앙선,영천JC,상주영천선
20210624,00,521 ,620 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,단양,중앙선,영천JC,상주영천선
20210624,00,522 ,620 ,5,2,-1,-1,-1,10,3,0,0,0,0,0,0,0,20210624021327,북단양,중앙선,영천JC,상주영천선
20210624,00,522 ,620 ,3,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,북단양,중앙선,영천JC,상주영천선
20210624,00,522 ,620 ,1,2,-1,-1,-1,10,2,0,0,0,0,0,0,0,20210624021327,북단양,중앙선,영천JC,상주영천선
20210624,00,528 ,620 ,5,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,기흥동탄,경부선,영천JC,상주영천선
20210624,00,528 ,620 ,1,2,-1,-1,-1,10,2,0,0,0,0,0,0,0,20210624021327,기흥동탄,경부선,영천JC,상주영천선
20210624,00,531 ,620 ,6,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,문의,당진상주선,영천JC,상주영천선
20210624,00,531 ,620 ,5,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,문의,당진상주선,영천JC,상주영천선
20210624,00,531 ,620 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,문의,당진상주선,영천JC,상주영천선
20210624,00,540 ,620 ,5,2,-1,-1,-1,10,2,0,0,0,0,0,0,0,20210624021327,청북,평택-음성선,영천JC,상주영천선
20210624,00,540 ,620 ,4,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,청북,평택-음성선,영천JC,상주영천선
20210624,00,541 ,620 ,5,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,송탄,평택-음성선,영천JC,상주영천선
20210624,00,542 ,620 ,2,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,서안성,평택-음성선,영천JC,상주영천선
20210624,00,560 ,620 ,4,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,감곡,중부내륙선,영천JC,상주영천선
20210624,00,561 ,620 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,북충주,중부내륙선,영천JC,상주영천선
20210624,00,562 ,620 ,5,2,-1,-1,-1,10,3,0,0,0,0,0,0,0,20210624021327,충주,중부내륙선,영천JC,상주영천선
20210624,00,562 ,620 ,4,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,충주,중부내륙선,영천JC,상주영천선
20210624,00,562 ,620 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,충주,중부내륙선,영천JC,상주영천선
20210624,00,564 ,620 ,5,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,연풍,중부내륙선,영천JC,상주영천선
20210624,00,564 ,620 ,4,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,연풍,중부내륙선,영천JC,상주영천선
20210624,00,564 ,620 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,연풍,중부내륙선,영천JC,상주영천선
20210624,00,579 ,620 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,남세종,당진상주선,영천JC,상주영천선
20210624,00,190 ,661 ,2,2,-1,-1,-1,10,3,0,0,0,0,0,0,0,20210624021327,동서울,중부선-대전통영선A,동곤지암,제2영동선
20210624,00,190 ,661 ,1,2,-1,-1,-1,10,3,0,0,0,0,0,0,0,20210624021327,동서울,중부선-대전통영선A,동곤지암,제2영동선
20210624,00,191 ,661 ,1,2,-1,-1,-1,10,3,0,0,0,0,0,0,0,20210624021327,경기광주,중부선-대전통영선A,동곤지암,제2영동선
20210624,00,554 ,652 ,1,2,-1,-1,-1,10,3,0,0,0,0,0,0,0,20210624021327,동홍천,서울춘천선,화도,서울춘천선
20210624,00,580 ,652 ,6,2,5254,5254,116.48,00,2,2,0,0,5254,5254,5254,0,20210624021327,북강릉,동해선,화도,서울춘천선
20210624,00,580 ,652 ,1,2,8107,8107,75.49,00,5,5,2017.74,0.24,11284,8045,6035,3674,20210624021327,북강릉,동해선,화도,서울춘천선
20210624,00,581 ,652 ,1,2,-1,-1,-1,10,2,0,0,0,0,0,0,0,20210624021327,옥계,동해선,화도,서울춘천선
20210624,00,582 ,652 ,1,2,-1,-1,-1,10,2,0,0,0,0,0,0,0,20210624021327,망상,동해선,화도,서울춘천선
20210624,00,583 ,652 ,5,2,-1,-1,-1,10,2,0,0,0,0,0,0,0,20210624021327,동해,동해선,화도,서울춘천선
20210624,00,752 ,753 ,1,2,-1,-1,-1,10,3,0,0,0,0,0,0,0,20210624021327,기장철마,부산외곽순환선,금정,부산외곽순환선
20210624,00,754 ,753 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,김해가야휴게소,부산외곽순환선,금정,부산외곽순환선
20210624,00,755 ,753 ,6,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,광재,부산외곽순환선,금정,부산외곽순환선
20210624,00,755 ,753 ,1,2,-1,-1,-1,10,2,0,0,0,0,0,0,0,20210624021327,광재,부산외곽순환선,금정,부산외곽순환선
20210624,00,760 ,753 ,3,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,기장서JC,부산외곽순환선,금정,부산외곽순환선
20210624,00,760 ,753 ,1,2,-1,-1,-1,10,4,0,0,0,0,0,0,0,20210624021327,기장서JC,부산외곽순환선,금정,부산외곽순환선
20210624,00,643 ,741 ,5,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,청량,부산울산선,평택고덕,평택-음성선
20210624,00,707 ,756 ,5,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,남포항,동해선,한림,부산외곽순환선
20210624,00,106 ,757 ,4,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,오산,경부선,진영,부산외곽순환선
20210624,00,113 ,757 ,4,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,신탄진,경부선,진영,부산외곽순환선
20210624,00,135 ,757 ,6,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,경주,경부선,진영,부산외곽순환선
20210624,00,135 ,757 ,5,2,-1,-1,-1,10,2,0,0,0,0,0,0,0,20210624021327,경주,경부선,진영,부산외곽순환선
